Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI stock boundaries,SI data prep,SI model,SI sci advice,SI other,,,,,,,,,,,,
Snow crab,Chionoecetes opilio,2023,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,GMACS,4,Alaska,Rebuilding,0,0,0,0,1,,,,,,,,,,,,
Blue king crab,Paralithodes platypus,2022,Saint Matthew Island,Saint Matthew Island,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,Rebuilding,,,,,,,,,,,,,,,,,
Blue king crab,Paralithodes platypus,2023,Pribilof Islands,Pribilof Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Survey Abundance,2,Alaska,Rebuilding,,,,,,,,,,,,,,,,,
Atka mackerel,Pleurogrammus monopterygius,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,,0,1,0,1,1,,,,,,,,,,,,
Blackspotted and Rougheye Rockfish,Sebastes melanostictus and S. aleutianus,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,0,1,0,1,NA,,,,,,,,,,,,
Multispecies Complex,Bering Sea / Aleutian Islands Other Rockfish Complex,2022,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,,0,1,1,1,NA,,,,,,,,,,,,
Pacific cod,Gadus macrocephalus,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,0,1,0,1,1,,,,,,,,,,,,
Sablefish,Anoplopoma fimbria,2023,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,0,0,0,0,1,,,,,,,,,,,,
Pacific cod,Gadus macrocephalus,2023,Aleutian Islands,Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,,1,1,1,1,1,,,,,,,,,,,,
Southern Tanner crab,Chionoecetes bairdi,2023,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,GMACS,4,Alaska,,1,1,0,1,1,,,,,,,,,,,,
Walleye pollock,Gadus chalcogrammus,2023,Southeast Gulf of Alaska,Southeast Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,,AMAK,4,Alaska,,1,1,1,1,1,,,,,,,,,,,,
Walleye pollock,Gadus chalcogrammus,2023,Western / Central / West Yakutat Gulf of Alaska,Western / Central / West Yakutat Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,1,1,1,1,1,,,,,,,,,,,,
Yelloweye rockfish,Sebastes ruberrimus,2022,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,1,1,1,1,0,,,,,,,,,,,,
Alaska plaice,Pleuronectes quadrituberculatus,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Alaska skate,Bathyraja parmifera,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Arrowtooth flounder,Reinhardtius stomias,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,AMAK,4,Alaska,,,,,,,,,,,,,,,,,,
Arrowtooth flounder,Reinhardtius stomias,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Atka mackerel,Pleurogrammus monopterygius,2016,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Historical Average Catch,1,Alaska,,,,,,,,,,,,,,,,,,
Big skate,Raja binoculata,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Survey Abundance,2,Alaska,,,,,,,,,,,,,,,,,,
Blackspotted and Rougheye rockfish,Sebastes melanostictus and S. aleutianus,2008,Aleutian Islands,Eastern Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,AMAK,4,Alaska,,,,,,,,,,,,,,,,,,
Blackspotted and Rougheye rockfish,Sebastes melanostictus and S. aleutianus,2022,Eastern Bering Sea,Eastern Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Dover sole,Microstomus pacificus,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Dusky rockfish,Sebastes variabilis,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,0,1,0,1,NA,,,,,,,,,,,,
Flathead sole,Hippoglossoides elassodon,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Flathead sole,Hippoglossoides elassodon,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Giant octopus,Enteroctopus dofleini,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Predation Based Estimate of M,1,Alaska,,,,,,,,,,,,,,,,,,
Giant octopus,Enteroctopus dofleini,2017,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Survey Abundance,2,Alaska,,,,,,,,,,,,,,,,,,
Golden king crab,Lithodes aequispinus,2017,Pribilof Islands,Pribilof Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAL,4,Alaska,,,,,,,,,,,,,,,,,,
Golden king crab,Lithodes aequispinus,2023,Western Aleutian Islands,Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAL,4,Alaska,,,,,,,,,,,,,,,,,,
Golden king crab,Lithodes aequispinus,2023,Eastern Aleutian Islands,Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Male-Only Length-Based Population Dynamics Model,4,Alaska,,,,,,,,,,,,,,,,,,
