Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1995,ALASKA,ABALONES **,"14,352",7,"150,741",Public,Commercial,Haliotidae,69492,AKFINHIST
1994,ALASKA,ABALONES **,"22,879",10,"343,241",Public,Commercial,Haliotidae,69492,AKFINHIST
1993,ALASKA,ABALONES **,"34,852",16,"506,976",Public,Commercial,Haliotidae,69492,AKFINHIST
1992,ALASKA,ABALONES **,"35,960",16,"385,791",Public,Commercial,Haliotidae,69492,AKFINHIST
1991,ALASKA,ABALONES **,"44,082",20,"267,723",Public,Commercial,Haliotidae,69492,AKFINHIST
1990,ALASKA,ABALONES **,"68,386",31,"373,905",Public,Commercial,Haliotidae,69492,AKFINHIST
1989,ALASKA,ABALONES **,"61,804",28,"331,018",Public,Commercial,Haliotidae,69492,AKFINHIST
1988,ALASKA,ABALONES **,"76,100",35,"307,368",Public,Commercial,Haliotidae,69492,AKFINHIST
1987,ALASKA,ABALONES **,"68,199",31,"210,935",Public,Commercial,Haliotidae,69492,AKFINHIST
1986,ALASKA,ABALONES **,"60,666",28,"166,838",Public,Commercial,Haliotidae,69492,AKFINHIST
1985,ALASKA,ABALONES **,"75,053",34,"218,198",Public,Commercial,Haliotidae,69492,AKFINHIST
1984,ALASKA,ABALONES **,"95,707",43,"234,445",Public,Commercial,Haliotidae,69492,AKFINHIST
1983,ALASKA,ABALONES **,"46,804",21,"130,788",Public,Commercial,Haliotidae,69492,AKFINHIST
1982,ALASKA,ABALONES **,"113,284",51,"239,807",Public,Commercial,Haliotidae,69492,AKFINHIST
1981,ALASKA,ABALONES **,"367,189",167,"440,774",Public,Commercial,Haliotidae,69492,AKFINHIST
1980,ALASKA,ABALONES **,"251,971",114,"420,792",Public,Commercial,Haliotidae,69492,AKFINHIST
1979,ALASKA,ABALONES **,"378,685",172,"409,353",Public,Commercial,Haliotidae,69492,AKFINHIST
1978,ALASKA,ABALONES **,"180,102",82,"253,662",Public,Commercial,Haliotidae,69492,AKFINHIST
1977,ALASKA,ABALONES **,"2,600",1,"14,815",Public,Commercial,Haliotidae,69492,AKFINHIST
1976,ALASKA,ABALONES **,100,0,601,Public,Commercial,Haliotidae,69492,AKFINHIST
1975,ALASKA,ABALONES **,"2,700",1,"12,116",Public,Commercial,Haliotidae,69492,AKFINHIST
1973,ALASKA,ABALONES **,700,0,"3,157",Public,Commercial,Haliotidae,69492,AKFINHIST
1972,ALASKA,ABALONES **,"2,000",1,"2,688",Public,Commercial,Haliotidae,69492,AKFINHIST
1971,ALASKA,ABALONES **,900,0,"2,077",Public,Commercial,Haliotidae,69492,AKFINHIST
1967,ALASKA,ABALONES **,"4,400",2,"5,539",Public,Commercial,Haliotidae,69492,AKFINHIST
1966,ALASKA,ABALONES **,"4,900",2,"5,000",Public,Commercial,Haliotidae,69492,AKFINHIST
1964,ALASKA,ABALONES **,"1,100",0,"1,100",Public,Commercial,Haliotidae,69492,AKFINHIST
1967,ALASKA,"ALGAE, MARINE **","399,600",181,"488,692",Public,Commercial,Chlorophyta,846493,AKFINHIST
1966,ALASKA,"ALGAE, MARINE **","662,000",300,"496,491",Public,Commercial,Chlorophyta,846493,AKFINHIST
1964,ALASKA,"ALGAE, MARINE **","398,700",181,"79,740",Public,Commercial,Chlorophyta,846493,AKFINHIST
1963,ALASKA,"ALGAE, MARINE **","199,100",90,"15,920",Public,Commercial,Chlorophyta,846493,AKFINHIST
1962,ALASKA,"ALGAE, MARINE **","46,200",21,"2,310",Public,Commercial,Chlorophyta,846493,AKFINHIST
1965,ALASKA,"BUTTERCLAM, WASHINGTON","1,500",1,"1,000",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1955,ALASKA,"BUTTERCLAM, WASHINGTON","158,558",72,"13,509",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1954,ALASKA,"BUTTERCLAM, WASHINGTON","9,459",4,643,Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1953,ALASKA,"BUTTERCLAM, WASHINGTON","80,394",36,"6,432",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1952,ALASKA,"BUTTERCLAM, WASHINGTON","23,116",10,"1,828",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1951,ALASKA,"BUTTERCLAM, WASHINGTON",80,0,8,Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1992,ALASKA,CAPELIN,"39,874",18,"19,898",Public,Commercial,Mallotus villosus,162035,AKFINHIST
1991,ALASKA,CAPELIN,222,0,111,Public,Commercial,Mallotus villosus,162035,AKFINHIST
1977,ALASKA,"CHAR, ARCTIC","3,800",2,"1,136",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1976,ALASKA,"CHAR, ARCTIC","10,100",5,"2,537",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1975,ALASKA,"CHAR, ARCTIC","2,800",1,725,Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1974,ALASKA,"CHAR, ARCTIC","102,500",46,"32,789",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1973,ALASKA,"CHAR, ARCTIC","14,600",7,"1,700",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1972,ALASKA,"CHAR, ARCTIC","61,300",28,"9,812",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
