Common.Name,Council.Abbv.1,Council.Abbv.2,Council.Abbv.3
Albacore,NOAA HMS-ICCAT,PFMC-P-RFMO,WPFMC-P-RFMO
Arrowtooth flounder,NPFMC,PFMC,
Big skate,NPFMC,PFMC,
Black sea bass,MAFMC,SAFMC,
Blackspotted and Rougheye Rockfish,NPFMC,PFMC,
Blueline tilefish,MAFMC,SAFMC,
Dover sole,NPFMC,PFMC,
Gag,GMFMC,SAFMC,
Goliath grouper,CFMC,GMFMC,SAFMC
Gray snapper,GMFMC,SAFMC,
Gray triggerfish,GMFMC,SAFMC,
Greater amberjack,GMFMC,SAFMC,
Lane snapper,GMFMC,SAFMC,
Lane snapper,,,
Longnose skate,NPFMC,PFMC,
Longnose skate,,,
Pacific ocean perch,NPFMC,PFMC,
Pacific ocean perch,,,
Pink shrimp,GMFMC,SAFMC,
Pink shrimp,,,
Red grouper,GMFMC,SAFMC,
Red grouper,,,
Red snapper,GMFMC,SAFMC,
Red snapper,,,
Rex sole,NPFMC,PFMC,
Rex sole,,,
Rock sole,NPFMC,PFMC,
Rock sole,,,
Sablefish,NPFMC,PFMC,
Sablefish,,,
Scamp,GMFMC,SAFMC,
Scamp,,,
Sharpchin rockfish,NPFMC,PFMC,
Sharpchin rockfish,,,
Shortraker rockfish,NPFMC,PFMC,
Shortraker rockfish,,,
Shortspine thornyhead,NPFMC,,
Shortspine thornyhead,PFMC,,
Silver hake,NEFMC,,
Skipjack tuna,WPFMC-P-RFMO,,
Skipjack tuna,NOAA HMS-ICCAT,,
Spanish mackerel,GMFMC,,
Spanish mackerel,SAFMC,,
Spiny dogfish,NEFMC-MAFMC,,
Spiny dogfish,PFMC,,
Striped marlin,WPFMC-P-RFMO,,
Striped marlin,PFMC-P-RFMO,,
Swordfish,WPFMC-PFMC-P-RFMO,,
Swordfish,NOAA HMS-ICCAT,,
Tilefish,GMFMC,,
Tilefish,MAFMC,,
Tilefish,SAFMC,,
Vermilion snapper,GMFMC,,
Vermilion snapper,SAFMC,,
White shrimp,GMFMC,,
White shrimp,SAFMC,,
Yellowedge grouper,GMFMC,,
Yellowedge grouper,SAFMC,,
Yelloweye rockfish,NPFMC,,
Yelloweye rockfish,PFMC,,
Yellowfin tuna,WPFMC-PFMC-P-RFMO,,
Yellowfin tuna,NOAA HMS-ICCAT,,
