Ecosystem,Survey Type,Survey Name,Entity Name,Stock,Stock Region,Assessment Year,Assessment Month,Degree of Influence
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Acadian redfish - Gulf of Maine / Georges Bank,Acadian redfish , Gulf of Maine / Georges Bank,2020,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Acadian redfish - Gulf of Maine / Georges Bank,Acadian redfish , Gulf of Maine / Georges Bank,2020,9,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Alaska plaice - Bering Sea / Aleutian Islands,Alaska plaice , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Alaska skate - Bering Sea / Aleutian Islands,Alaska skate , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Alaska skate - Bering Sea / Aleutian Islands,Alaska skate , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Alaska skate - Bering Sea / Aleutian Islands,Alaska skate , Bering Sea / Aleutian Islands,2022,12,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Albacore - North Atlantic,Albacore , North Atlantic,2020,10,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Albacore - North Pacific,Albacore , North Pacific,2020,9,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Albacore - South Pacific,Albacore , South Pacific,2021,8,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Aleutian Islands Blackspotted and Rougheye rockfish Complex | Asmt,Aleutian Islands Blackspotted and Rougheye rockfish Complex | Asmt, Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Slope Bottom Trawl Survey_Summer,Aleutian Islands Blackspotted and Rougheye rockfish Complex | Asmt,Aleutian Islands Blackspotted and Rougheye rockfish Complex | Asmt, Bering Sea / Aleutian Islands,2022,12,Primary
